Timestamp,How would you describe your cooking experience?,How many meals do you cook at home in a typical week?,Which appliances do you regularly have access to? (Select all that apply),What are your top cooking pain points? (Select all that apply),"How valuable would each feature be to you? [Curated recipes for my goals (fitness, diet, balanced)]",How valuable would each feature be to you? [Ingredient-aware suggestions & smart substitutions],How valuable would each feature be to you? [Automatic grocery list from selected recipes],How valuable would each feature be to you? [Portioning & leftovers planner for my household size],"If this app included your favorite features and solved your main challenges, what monthly price would feel reasonable to you?","If this app were released, which features would you be most excited to use, and what suggestions would you have for improvement?"
10/11/2025 14:33:32,Intermediate (Cook weekly; comfortable making most recipes),3-4,"Stove, Oven, Microwave, Slow cooker, Blender/food processor","Finding recipes I’ll actually enjoy, Matching recipes to what’s already in my kitchen, Hitting nutrition/fitness goals",Very,Moderately,Very,Slightly,I wouldn't pay,recipes matching my fitness goals
10/13/2025 15:21:34,Intermediate (Cook weekly; comfortable making most recipes),3-4,"Stove, Oven, Microwave, Air fryer, Blender/food processor","Finding recipes I’ll actually enjoy, Matching recipes to what’s already in my kitchen, Substitutions when I’m missing ingredients / for international dishes, Time required to cook, Cleanup effort",Extremely,Extremely,Very,Very,$3-5,"I’d be most excited for clear, step-by-step guidance on how to cook different meals. It would be great if the app included short videos or voice instructions so you can follow along easily while cooking"
10/14/2025 0:15:35,Experienced (Cook often; confident with new and advanced techniques),4-5,"Stove, Oven, Microwave, Air fryer, Slow cooker, Pressure cooker/Instant Pot, Blender/food processor","Matching recipes to what’s already in my kitchen, Time required to cook",Slightly,Slightly,Extremely,Very,$3-5,I would love for their to be an AI integrated feature that allows you to list of ingredients you have and recieve recipe suggestions
10/9/2025 16:41:25,Intermediate (Cook weekly; comfortable making most recipes),4-5,"Stove, Oven, Microwave","Matching recipes to what’s already in my kitchen, Substitutions when I’m missing ingredients / for international dishes",Not at all,Very,Moderately,Extremely,I wouldn't pay,"Correct substitution for ingredients-> saves money
Recipes which match what I already have in my fridge-> saves money making the most of what I already have
I would also MUCH appreciate recipes which freeze well (I quite enjoy cooking but I mostly love eating but I don’t have that much time - would be great a one-stop-shop for recipes which freeze well)"
10/13/2025 19:41:26,Intermediate (Cook weekly; comfortable making most recipes),4-5,"Stove, Oven, Microwave, Slow cooker, Blender/food processor","Finding recipes I’ll actually enjoy, Matching recipes to what’s already in my kitchen, Substitutions when I’m missing ingredients / for international dishes, Time required to cook, Clear, step-by-step instructions, Hitting nutrition/fitness goals, Cleanup effort",Extremely,Extremely,Extremely,Moderately,<$3,Allowing me to rate and comment on past recipes that I have tried. Sorting by many criteria including my ratings.  Sharing recipes with friends. Full nutritional breakdown of recipes.
10/13/2025 21:28:25,Intermediate (Cook weekly; comfortable making most recipes),4-5,"Stove, Oven, Microwave, Air fryer, Blender/food processor","Finding recipes I’ll actually enjoy, Matching recipes to what’s already in my kitchen, Substitutions when I’m missing ingredients / for international dishes, Portioning correctly (too much/too little food), Cleanup effort",Very,Very,Extremely,Very,$3-5,Automatic grocery list
10/13/2025 23:56:19,Intermediate (Cook weekly; comfortable making most recipes),4-5,"Stove, Oven, Microwave, Air fryer, Blender/food processor","Finding recipes I’ll actually enjoy, Matching recipes to what’s already in my kitchen, Time required to cook",Moderately,Very,Extremely,Slightly,I wouldn't pay,i would be excited for recipes based on what i have so i dont have to go shopping for one thing
10/9/2025 15:52:45,Intermediate (Cook weekly; comfortable making most recipes),5-6,"Stove, Oven, Microwave, Blender/food processor","Matching recipes to what’s already in my kitchen, Clear, step-by-step instructions, Portioning correctly (too much/too little food), Cleanup effort",Slightly,Moderately,Very,Very,I wouldn't pay,Automatic grocery list from selected recipes
10/13/2025 19:22:42,Intermediate (Cook weekly; comfortable making most recipes),5-6,"Stove, Oven, Microwave, Blender/food processor","Matching recipes to what’s already in my kitchen, Clear, step-by-step instructions, Portioning correctly (too much/too little food), Hitting nutrition/fitness goals",Extremely,Very,Moderately,Not at all,$3-5,Curated Recipes
10/12/2025 21:15:10,Experienced (Cook often; confident with new and advanced techniques),6-7,"Stove, Oven, Microwave, Air fryer, Blender/food processor, Rice cooker, coffee pot, toaster","Matching recipes to what’s already in my kitchen, Substitutions when I’m missing ingredients / for international dishes, Hitting nutrition/fitness goals, Cleanup effort",Very,Very,Extremely,Extremely,I wouldn't pay,"I would be most excited for nutrition and fitness goals. Like for instance you should typically avoid heavy carbs at night and instead eat more protein and fiber, whereas that may be different in the morning. I think meal plans keeping this in mind along with your essential vitamins etc would be awesome. Especially if the meals were still creative and expanded the user to new flavor combinations instead of just ""chicken and rice"""
10/12/2025 21:22:15,Experienced (Cook often; confident with new and advanced techniques),6-7,"Stove, Oven, Microwave, Air fryer, Slow cooker, Pressure cooker/Instant Pot, Blender/food processor","Matching recipes to what’s already in my kitchen, Substitutions when I’m missing ingredients / for international dishes, Cleanup effort",Moderately,Very,Very,Moderately,$3-5,Ingredient aware/smart substitutions
10/13/2025 19:02:16,Experienced (Cook often; confident with new and advanced techniques),8+,"Stove, Oven, Microwave","Portioning correctly (too much/too little food), Cleanup effort",Very,Moderately,Extremely,Slightly,$3-5,Automatic grocery list from selected recipes
10/9/2025 17:12:03,Intermediate (Cook weekly; comfortable making most recipes),8+,"Stove, Oven, Microwave, Air fryer","Finding recipes I’ll actually enjoy, Matching recipes to what’s already in my kitchen, Time required to cook",Slightly,Moderately,Slightly,Slightly,<$3,Substitutions of ingredients I don’t have and also option for economic meals
